All children:
[◯,◯, ,◯,◯,◯,◯] Steps: 0 | Player: Max | Score: -7
[ ,◯, ,◯,◯,◯,◯] Steps: 1 | Player: Min | Score: 6
[◯, , ,◯,◯,◯,◯] Steps: 1 | Player: Min | Score: 6
[◯,◯, , ,◯,◯,◯] Steps: 1 | Player: Min | Score: 6
[◯,◯, ,◯, ,◯,◯] Steps: 1 | Player: Min | Score: 6
[◯,◯, ,◯,◯, ,◯] Steps: 1 | Player: Min | Score: 6
[◯,◯, ,◯,◯,◯, ] Steps: 1 | Player: Min | Score: 6
[ , , ,◯,◯,◯,◯] Steps: 1 | Player: Min | Score: 6
[◯,◯, , , ,◯,◯] Steps: 1 | Player: Min | Score: 6
[◯,◯, ,◯, , ,◯] Steps: 1 | Player: Min | Score: 6
[◯,◯, ,◯,◯, , ] Steps: 1 | Player: Min | Score: 6
[ ,◯, ,◯,◯,◯, ] Steps: 1 | Player: Min | Score: 6
[◯,◯, , , , ,◯] Steps: 1 | Player: Min | Score: 6
[◯,◯, ,◯, , , ] Steps: 1 | Player: Min | Score: 6
[ ,◯, ,◯,◯, , ] Steps: 1 | Player: Min | Score: 6
[ , , ,◯,◯,◯, ] Steps: 1 | Player: Min | Score: 6
[ , , ,◯,◯,◯,◯] Steps: 2 | Player: Max | Score: -5
[ ,◯, , ,◯,◯,◯] Steps: 2 | Player: Max | Score: -5
[ ,◯, ,◯, ,◯,◯] Steps: 2 | Player: Max | Score: -5
[ ,◯, ,◯,◯, ,◯] Steps: 2 | Player: Max | Score: -5
[ ,◯, ,◯,◯,◯, ] Steps: 2 | Player: Max | Score: -5
[ ,◯, , , ,◯,◯] Steps: 2 | Player: Max | Score: -5
[ ,◯, ,◯, , ,◯] Steps: 2 | Player: Max | Score: -5
[ ,◯, ,◯,◯, , ] Steps: 2 | Player: Max | Score: -5
[ ,◯, , , , ,◯] Steps: 2 | Player: Max | Score: -5
[ ,◯, ,◯, , , ] Steps: 2 | Player: Max | Score: -5
[ , , ,◯,◯,◯,◯] Steps: 2 | Player: Max | Score: -5
[◯, , , ,◯,◯,◯] Steps: 2 | Player: Max | Score: -5
[◯, , ,◯, ,◯,◯] Steps: 2 | Player: Max | Score: -5
[◯, , ,◯,◯, ,◯] Steps: 2 | Player: Max | Score: -5
[◯, , ,◯,◯,◯, ] Steps: 2 | Player: Max | Score: -5
[◯, , , , ,◯,◯] Steps: 2 | Player: Max | Score: -5
